time,target,state,error,control,controller
0.0,1.0,0.16832,1.0,8.416,pid
0.02,1.0,0.1849253376,0.83168,1.0154188799999997,pid
0.04,1.0,0.218834884947968,0.8150746624,1.8988952387584004,pid
0.06,1.0,0.2485442316486387,0.781165115052032,1.726185708476301,pid
0.08,1.0,0.27691841400381056,0.7514557683513613,1.692107772572097,pid
0.1,1.0,0.30369800942309905,0.7230815859961894,1.6435900263686167,pid
0.12,1.0,0.32901720023232794,0.696301990576901,1.6000273508268554,pid
0.14,1.0,0.35295401073404364,0.6709827997676721,1.5587594453413458,pid
0.16,1.0,0.37558818485410594,0.6470459892659564,1.5199581178105628,pid
0.18,1.0,0.39699409493240895,0.6244118151458941,1.483442507254668,pid
0.2,1.0,0.41724194487986355,0.6030059050675911,1.4490860017983787,pid
0.22,1.0,0.4363978951243365,0.5827580551201365,1.4167636515914992,pid
0.24,1.0,0.4545243094896144,0.5636021048756634,1.3863584029006644,pid
0.26,1.0,0.4716799713757896,0.5454756905103856,1.3577598347473347,pid
0.28,1.0,0.48792028963658457,0.5283200286242105,1.3308638815531182,pid
0.3,1.0,0.5032974923614858,0.5120797103634154,1.3055724548453047,pid
0.32,1.0,0.5178608095623956,0.4967025076385142,1.2817931016431217,pid
0.34,1.0,0.5316566453630607,0.48213919043760445,1.2594386805518887,pid
0.36,1.0,0.5447287402991924,0.4683433546369393,1.238427056705951,pid
0.38,1.0,0.5571183242966431,0.4552712597008076,1.2186808142016483,pid
0.4,1.0,0.5688642608631391,0.4428816757033569,1.2001269850511063,pid
0.42,1.0,0.5800031829982187,0.4311357391368609,1.1826967937034338,pid
0.44,1.0,0.5905696212970533,0.41999681700178126,1.1663254162397696,pid
0.46,1.0,0.6005961246965038,0.40943037870294674,1.1509517533992846,pid
0.48,1.0,0.610113374286016,0.3994038753034962,1.1365182166417631,pid
0.5,1.0,0.6191502905816834,0.389886625713984,1.122970526497988,pid
0.52,1.0,0.6277341346389292,0.38084970941831664,1.110257522502148,pid
0.54,1.0,0.6358906033576941,0.37226586536107076,1.098330984041064,pid
0.56,1.0,0.6436439193136887,0.3641093966423059,1.0871454614931915,pid
0.58,1.0,0.6510169154301156,0.3563560806863113,1.076658117066407,pid
0.6,1.0,0.6580311147862032,0.34898308456988436,1.0668285747775064,pid
0.62,1.0,0.6647068058418738,0.34196888521379676,1.0576187790483529,pid
0.64,1.0,0.6710631133418281,0.3352931941581262,1.0489928614237758,pid
0.66,1.0,0.6771180651472022,0.3289368866581719,1.0409170149447136,pid
0.68,1.0,0.6828886552287026,0.3228819348527978,1.0333593757369421,pid
0.7000000000000001,1.0,0.6883909030416896,0.31711134477129743,1.026289911400924,pid
0.72,1.0,0.6936399094910158,0.3116090969583104,1.0196803158121683,pid
0.74,1.0,0.6986499096814913,0.30636009050898416,1.0135039099638938,pid
0.76,1.0,0.7034343226385976,0.3013500903185087,1.0077355485049533,pid
0.78,1.0,0.7080057981734664,0.2965656773614024,1.0023515316458957,pid
0.8,1.0,0.7123762610561474,0.2919942018265336,0.9973295221248601,pid
0.8200000000000001,1.0,0.7165569526517652,0.2876237389438526,0.9926484669426545,pid
0.84,1.0,0.7205584701652888,0.2834430473482348,0.988288523593122,pid
0.86,1.0,0.7243908036322642,0.27944152983471116,0.9842309905305862,pid
0.88,1.0,0.7280633707849747,0.27560919636773584,0.980458241631019,pid
0.9,1.0,0.7315850499160561,0.27193662921502526,0.9769536644175424,pid
0.92,1.0,0.7349642108545842,0.2684149500839439,0.9737016018340655,pid
0.9400000000000001,1.0,0.7382087441630483,0.2650357891454158,0.9706872973632446,pid
0.96,1.0,0.7413260886573954,0.26179125583695173,0.9678968432967059,pid
0.98,1.0,0.7443232573464618,0.25867391134260465,0.9653171319764565,pid
1.0,1.0,0.7472068618815764,0.25567674265353824,0.9629358098368378,pid
1.02,1.0,0.7499831356019051,0.25279313811842363,0.9607412340861684,pid
1.04,1.0,0.7526579552561925,0.2500168643980949,0.9587224318764642,pid
1.06,1.0,0.7552368614769227,0.2473420447438075,0.9568690618183233,pid
1.08,1.0,0.757725078078556,0.2447631385230773,0.9551713777062832,pid
1.1,1.0,0.7601275302473816,0.24227492192144395,0.9536201943276875,pid
1.12,1.0,0.762448861686647,0.23987246975261844,0.952206855235395,pid
1.1400000000000001,1.0,0.7646934507769715,0.23755113831335295,0.9509232023715317,pid
1.16,1.0,0.7668654258085975,0.23530654922302852,0.9497615474359679,pid
1.18,1.0,0.7689686793387948,0.2331345741914025,0.9487146448993182,pid
1.2,1.0,0.7710068817246613,0.23103132066120524,0.9477756665659969,pid
1.22,1.0,0.7729834938786848,0.22899311827533875,0.9469381775983072,pid
1.24,1.0,0.7749017792917068,0.2270165061213152,0.9461961139176492,pid
1.26,1.0,0.776764815365364,0.22509822070829322,0.9455437609037388,pid
1.28,1.0,0.778575504093672,0.22323518463463599,0.9449757333173039,pid
1.3,1.0,0.7803365821311304,0.22142449590632796,0.9444869563759613,pid
1.32,1.0,0.7820506302825868,0.21966341786886956,0.9440726479170607,pid
1.34,1.0,0.783720082448071,0.2179493697174132,0.9437283015850563,pid
1.36,1.0,0.7853472340539046,0.216279917551929,0.9434496709845581,pid
1.3800000000000001,1.0,0.7869342499995907,0.2146527659460954,0.9432327547435986,pid
1.4000000000000001,1.0,0.7884831721482966,0.21306575000040928,0.9430737824348434,pid
1.42,1.0,0.7899959263871432,0.21151682785170345,0.9429692013054584,pid
1.44,1.0,0.7914743292820098,0.21000407361285678,0.9429156637691869,pid
1.46,1.0,0.7929200943501431,0.20852567071799022,0.9429100156168758,pid
1.48,1.0,0.794334837972523,0.2070799056498569,0.942949284904153,pid
1.5,1.0,0.7957200849666756,0.20566516202747698,0.9430306714774013,pid
1.52,1.0,0.7970772738394354,0.20427991503332443,0.9431515371013326,pid
1.54,1.0,0.7984077617380405,0.20292272616056461,0.9433093961536344,pid
1.56,1.0,0.7997128291168857,0.2015922382619595,0.9435019068541016,pid
1.58,1.0,0.8009936841362655,0.20028717088311432,0.9437268629975628,pid
1.6,1.0,0.8022514668085009,0.19900631586373452,0.9439821861616633,pid
1.62,1.0,0.8034872529059585,0.1977485331914991,0.9442659183622285,pid
1.6400000000000001,1.0,0.8047020576446374,0.19651274709404154,0.9445762151305022,pid
1.6600000000000001,1.0,0.805896839156216,0.19529794235536257,0.9449113389880299,pid
1.68,1.0,0.8070725017607061,0.19410316084378398,0.945269653296344,pid
1.7,1.0,0.8082298990511692,0.1929274982392939,0.9456496164599275,pid
1.72,1.0,0.8093698368012866,0.19177010094883085,0.9460497764621598,pid
1.74,1.0,0.810493075705961,0.1906301631987134,0.9464687657151309,pid
1.76,1.0,0.8116003339645353,0.18950692429403904,0.9469052962052756,pid
1.78,1.0,0.8126922897156729,0.18839966603546465,0.9473581549178645,pid
1.8,1.0,0.8137695833324141,0.18730771028432713,0.9478261995243049,pid
1.82,1.0,0.8148328195854447,0.18623041666758589,0.9483083543171849,pid
1.84,1.0,0.8158825696821411,0.18516718041455527,0.948803606378808,pid
1.86,1.0,0.8169193731885306,0.18411743031785888,0.9493110019698279,pid
1.8800000000000001,1.0,0.8179437398408893,0.18308062681146942,0.9498296431253184,pid
1.9000000000000001,1.0,0.8189561512533174,0.1820562601591107,0.9503586844463874,pid
1.92,1.0,0.8199570625272663,0.18104384874668256,0.9508973300760903,pid
1.94,1.0,0.8209469037686475,0.1800429374727337,0.9514448308490526,pid
1.96,1.0,0.8219260815178342,0.17905309623135246,0.952000481604845,pid
1.98,1.0,0.8228949800975555,0.1780739184821658,0.952563618655679,pid
2.0,1.0,0.8238539628834008,0.17710501990244454,0.9531336173995795,pid
2.02,1.0,0.8248033735013794,0.17614603711659915,0.9537098900706715,pid
2.04,1.0,0.8257435369567231,0.17519662649862056,0.9542918836187015,pid
2.06,1.0,0.8266747606978827,0.1742564630432769,0.9548790777103788,pid
2.08,1.0,0.8275973356194399,0.1733252393021173,0.9554709828455338,pid
2.1,1.0,0.8285115370074423,0.17240266438056007,0.9560671385814998,pid
2.12,1.0,0.8294176254304686,0.1714884629925577,0.9566671118595043,pid
2.14,1.0,0.8303158475795425,0.1705823745695314,0.95727049542721,pid
2.16,1.0,0.83120643705983,0.16968415242045753,0.9578769063518746,pid
2.18,1.0,0.8320896151368926,0.16879356294017,0.9584859846189453,pid
2.2,1.0,0.8329655914401041,0.1679103848631074,0.9590973918111543,pid
2.22,1.0,0.833834564625692,0.16703440855989593,0.9597108098635121,pid
2.24,1.0,0.8346967230017235,0.16616543537430795,0.9603259398898307,pid
2.2600000000000002,1.0,0.8355522451172189,0.16530327699827652,0.960942501076667,pid
2.2800000000000002,1.0,0.8364013003174565,0.16444775488278107,0.9615602296408183,pid
2.3000000000000003,1.0,0.8372440492674068,0.16359869968254348,0.962178877846716,pid
2.32,1.0,0.8380806444451294,0.1627559507325932,0.9627982130802805,pid
2.34,1.0,0.8389112306068564,0.16191935555487058,0.96341801697599,pid
2.36,1.0,0.8397359452253877,0.16108876939314365,0.9640380845941099,pid
2.38,1.0,0.8405549189033332,0.16026405477461225,0.9646582236452015,pid
2.4,1.0,0.8413682757626438,0.15944508109666677,0.9652782537591944,pid
2.42,1.0,0.8421761338117948,0.15863172423735616,0.9658980057964559,pid
2.44,1.0,0.8429786052919046,0.1578238661882052,0.9665173211984628,pid
2.46,1.0,0.8437757970029982,0.1570213947080954,0.9671360513757757,pid
2.48,1.0,0.8445678106115563,0.1562242029970018,0.9677540571312003,pid
2.5,1.0,0.8453547429404238,0.15543218938844372,0.9683712081160893,pid
2.52,1.0,0.8461366862420925,0.1546452570595762,0.9689873823179038,pid
2.54,1.0,0.8469137284563109,0.15386331375790752,0.9696024655772184,pid
2.56,1.0,0.847685953452922,0.15308627154368915,0.9702163511324953,pid
2.58,1.0,0.8484534412607782,0.15231404654707803,0.9708289391910254,pid
2.6,1.0,0.8492162682835316,0.15154655873922185,0.9714401365245278,pid
2.62,1.0,0.8499745075030539,0.15078373171646842,0.9720498560879995,pid
2.64,1.0,0.8507282286711964,0.15002549249694608,0.9726580166604837,pid
2.66,1.0,0.8514774984905596,0.14927177132880365,0.9732645425064821,pid
2.68,1.0,0.8522223807849041,0.14852250150944035,0.973869363056836,pid
2.7,1.0,0.8529629366597955,0.1477776192150959,0.974472412607964,pid
2.72,1.0,0.8536992246540477,0.1470370633402045,0.9750736300383862,pid
2.74,1.0,0.8544313008824896,0.14630077534595232,0.9756729585415516,pid
2.7600000000000002,1.0,0.8551592191705555,0.14556869911751036,0.9762703453740323,pid
2.7800000000000002,1.0,0.8558830311811673,0.14484078082944452,0.976865741618202,pid
2.8000000000000003,1.0,0.8566027865343527,0.14411696881883274,0.9774591019585595,pid
2.82,1.0,0.8573185329200155,0.14339721346564727,0.9780503844709226,pid
2.84,1.0,0.8580303162042501,0.14268146707998453,0.9786395504237482,pid
2.86,1.0,0.8587381805295743,0.14196968379574992,0.9792265640908859,pid
2.88,1.0,0.8594421684094256,0.1412618194704257,0.9798113925750971,pid
2.9,1.0,0.8601423208172531,0.14055783159057444,0.9803940056417408,pid
2.92,1.0,0.8608386772705139,0.13985767918274694,0.9809743755620214,pid
2.94,1.0,0.8615312759098679,0.13916132272948611,0.9815524769652673,pid
2.96,1.0,0.8622201535738448,0.1384687240901321,0.9821282866997008,pid
2.98,1.0,0.8629053458692449,0.13777984642615515,0.9827017837012367,pid
3.0,1.0,0.8635868872375182,0.13709465413075506,0.9832729488698297,pid
3.02,1.0,0.8642648110173515,0.1364131127624818,0.9838417649529347,pid
3.04,1.0,0.8649391495036838,0.13573518898264847,0.9844082164356966,pid
3.06,1.0,0.8656099340033516,0.13506085049631622,0.9849722894374469,pid
3.08,1.0,0.8662771948875614,0.13439006599664838,0.9855339716141769,pid
3.1,1.0,0.8669409616413675,0.13372280511243861,0.9860932520666208,pid
3.12,1.0,0.8676012629103304,0.13305903835863253,0.9866501212536466,pid
3.14,1.0,0.8682581265445157,0.13239873708966965,0.9872045709106296,pid
3.16,1.0,0.8689115796399871,0.13174187345548427,0.9877565939725373,pid
3.18,1.0,0.8695616485779364,0.1310884203600129,0.9883061845014502,pid
3.2,1.0,0.8702083590615869,0.13043835142206361,0.9888533376182577,pid
3.22,1.0,0.8708517361509981,0.1297916409384131,0.9893980494383037,pid
3.24,1.0,0.8714918042958909,0.1291482638490019,0.9899403170107366,pid
3.2600000000000002,1.0,0.8721285873666087,0.1285081957041091,0.9904801382613699,pid
3.2800000000000002,1.0,0.8727621086833199,0.1278714126333913,0.9910175119388316,pid
3.3000000000000003,1.0,0.8733923910435635,0.12723789131668006,0.9915524375638307,pid
3.3200000000000003,1.0,0.8740194567482322,0.12660760895643652,0.9920849153813556,pid
3.34,1.0,0.8746433276260837,0.12598054325176777,0.9926149463156275,pid
3.36,1.0,0.8752640250568632,0.12535667237391634,0.9931425319276707,pid
3.38,1.0,0.8758815699931186,0.12473597494313682,0.9936676743753213,pid
3.4,1.0,0.8764959829807812,0.12411843000688139,0.9941903763755631,pid
3.42,1.0,0.8771072841785847,0.12350401701921876,0.9947106411690372,pid
3.44,1.0,0.877715493376388,0.12289271582141525,0.9952284724866061,pid
3.46,1.0,0.8783206300124646,0.12228450662361201,0.9957438745178576,pid
3.48,1.0,0.8789227131898191,0.12167936998753537,0.9962568518814339,pid
3.5,1.0,0.8795217616915847,0.12107728681018093,0.9967674095970793,pid
3.52,1.0,0.880117793995556,0.12047823830841531,0.9972755530593094,pid
3.54,1.0,0.880710828287906,0.11988220600444399,0.9977812880126151,pid
3.56,1.0,0.881300882476134,0.11928917171209397,0.9982846205280962,pid
3.58,1.0,0.8818879742012884,0.11869911752386597,0.9987855569814632,pid
3.6,1.0,0.8824721208495063,0.1181120257987116,0.9992841040323139,pid
3.62,1.0,0.8830533395629095,0.11752787915049367,0.9997802686046173,pid
3.64,1.0,0.8836316472498922,0.11694666043709045,1.0002740578683313,pid
3.66,1.0,0.8842070605948366,0.11636835275010782,1.0007654792220981,pid
3.68,1.0,0.8847795960672891,0.11579293940516344,1.0012545402769437,pid
3.7,1.0,0.8853492699306273,0.11522040393271094,1.0017412488409325,pid
3.72,1.0,0.8859160982502479,0.11465073006937265,1.0022256129047158,pid
3.74,1.0,0.886480096901301,0.11408390174975214,1.0027076406279292,pid
3.7600000000000002,1.0,0.8870412815760002,0.11351990309869897,1.003187340326385,pid
3.7800000000000002,1.0,0.8875996677905285,0.11295871842399985,1.003664720460015,pid
3.8000000000000003,1.0,0.8881552708915673,0.11240033220947154,1.0041397896215236,pid
3.8200000000000003,1.0,0.8887081060624669,0.11184472910843268,1.004612556525702,pid
3.84,1.0,0.8892581883290802,0.11129189393753314,1.0050830299993796,pid
3.86,1.0,0.8898055325652796,0.11074181167091979,1.0055512189719595,pid
3.88,1.0,0.8903501534981738,0.11019446743472039,1.0060171324665201,pid
3.9,1.0,0.8908920657130427,0.10964984650182619,1.0064807795914346,pid
3.92,1.0,0.8914312836580056,0.10910793428695731,1.0069421695324923,pid
3.94,1.0,0.8919678216484392,0.10856871634199439,1.007401311545489,pid
3.96,1.0,0.8925016938711585,0.10803217835156076,1.007858214949249,pid
3.98,1.0,0.8930329143883744,0.10749830612884148,1.0083128891190702,pid
4.0,1.0,0.8935614971414413,0.1069670856116256,1.0087653434805586,pid
4.0200000000000005,1.0,0.8940874559544062,0.10643850285855871,1.009215587503829,pid
4.04,1.0,0.8946108045373703,0.1059125440455938,1.0096636306980544,pid
4.0600000000000005,1.0,0.8951315564896751,0.1053891954626297,1.0101094826063475,pid
4.08,1.0,0.895649725302921,0.10486844351032487,1.0105531528009368,pid
4.1,1.0,0.8961653243638298,0.10435027469707903,1.0109946508786538,pid
4.12,1.0,0.896678366956959,0.10383467563617022,1.0114339864566737,pid
4.14,1.0,0.8971888662672766,0.10332163304304098,1.0118711691685298,pid
4.16,1.0,0.8976968353826037,0.10281113373272344,1.0123062086603611,pid
4.18,1.0,0.8982022872959343,0.1023031646173963,1.012739114587397,pid
4.2,1.0,0.8987052349076368,0.10179771270406568,1.0131698966106477,pid
4.22,1.0,0.8992056910275449,0.10129476509236324,1.0135985643938086,pid
4.24,1.0,0.8997036683769459,0.10079430897245512,1.0140251276003545,pid
4.26,1.0,0.9001991795904691,0.10029633162305407,1.014449595890803,pid
4.28,1.0,0.9006922372178822,0.09980082040953087,1.014871978920167,pid
4.3,1.0,0.9011828537257998,0.09930776278211784,1.0152922863355507,pid
